county,gender,race,year,y,n,county_name
1,1,1,1,6,8912,Adams
1,1,1,2,5,9139,Adams
1,1,1,3,8,9455,Adams
1,1,1,4,5,9876,Adams
1,1,1,5,8,10281,Adams
1,1,1,6,5,10876,Adams
1,1,1,7,7,11202,Adams
1,1,1,8,9,11014,Adams
1,1,1,9,9,11485,Adams
1,1,1,10,4,11684,Adams
1,1,1,11,7,11842,Adams
1,1,1,12,5,11841,Adams
1,1,1,13,11,12006,Adams
1,1,1,14,7,12142,Adams
1,1,1,15,12,12085,Adams
1,1,1,16,7,11944,Adams
1,1,1,17,9,11875,Adams
1,1,1,18,15,11915,Adams
1,1,1,19,9,12074,Adams
1,1,1,20,12,12325,Adams
1,1,1,21,13,12443,Adams
1,1,2,1,0,24,Adams
1,1,2,2,0,20,Adams
1,1,2,3,0,18,Adams
1,1,2,4,0,20,Adams
1,1,2,5,0,23,Adams
1,1,2,6,0,31,Adams
1,1,2,7,0,32,Adams
1,1,2,8,0,37,Adams
1,1,2,9,0,34,Adams
1,1,2,10,1,35,Adams
1,1,2,11,0,41,Adams
1,1,2,12,0,43,Adams
1,1,2,13,0,51,Adams
1,1,2,14,0,52,Adams
1,1,2,15,0,70,Adams
1,1,2,16,0,84,Adams
1,1,2,17,0,89,Adams
1,1,2,18,0,100,Adams
1,1,2,19,0,104,Adams
1,1,2,20,0,111,Adams
1,1,2,21,0,120,Adams
1,2,1,1,0,8994,Adams
1,2,1,2,0,9289,Adams
1,2,1,3,1,9550,Adams
1,2,1,4,1,9991,Adams
1,2,1,5,2,10379,Adams
1,2,1,6,2,10949,Adams
1,2,1,7,5,11289,Adams
1,2,1,8,3,11189,Adams
1,2,1,9,1,11639,Adams
1,2,1,10,2,11804,Adams
1,2,1,11,6,11996,Adams
1,2,1,12,0,12014,Adams
1,2,1,13,3,12196,Adams
1,2,1,14,4,12409,Adams
1,2,1,15,3,12415,Adams
1,2,1,16,2,12271,Adams
1,2,1,17,3,12246,Adams
1,2,1,18,5,12309,Adams
1,2,1,19,3,12466,Adams
1,2,1,20,4,12680,Adams
